prompt_id,category,prompt,brightness,contrast,edge_density,saturation,mean_red,mean_green,mean_blue,width,height
cou_002,counting,two cats sitting together,111.72,30.68,0.0278,107.92,122.49,110.2,91.3,512,512
cou_003,counting,three flowers in a vase,122.15,43.11,0.0405,212.03,126.43,118.68,128.76,512,512
cou_004,counting,one tall tree in a field,122.07,73.1,0.1087,109.97,138.67,116.16,108.96,512,512
cou_005,counting,two birds on a branch,118.18,47.85,0.1262,122.05,142.16,110.08,96.92,512,512
cou_006,counting,three candles on a cake,115.32,51.93,0.0667,85.29,110.42,121.39,96.88,512,512
cou_007,counting,one boat on a lake,99.33,30.32,0.0246,75.33,113.39,96.34,77.84,512,512
cou_008,counting,two shoes on the floor,129.15,50.13,0.0758,13.16,129.87,128.87,129.57,512,512
cou_009,counting,three books on a shelf,103.55,49.55,0.0059,85.7,116.09,101.27,82.37,512,512
cou_010,counting,one sun in the sky,97.77,43.5,0.0222,57.8,107.05,94.87,88.15,512,512
cou_011,counting,four books stacked together,89.68,57.24,0.178,58.94,85.48,93.78,79.54,512,512
cou_012,counting,five colorful balloons,111.74,60.24,0.0273,86.51,113.17,112.33,104.81,512,512
cou_013,counting,six pencils in a cup,92.05,46.5,0.2704,84.36,97.14,89.81,90.23,512,512
cou_014,counting,four chairs around a table,141.47,49.65,0.0956,117.68,140.53,144.7,127.23,512,512
cou_015,counting,five fingers on a hand,108.02,79.67,0.0731,95.68,103.73,112.64,95.47,512,512
cou_016,counting,six eggs in a carton,131.94,51.33,0.0946,77.85,132.01,136.11,110.3,512,512
cou_017,counting,four wheels on a car,107.54,61.39,0.177,29.57,109.32,107.1,105.16,512,512
cou_018,counting,five petals on a flower,136.43,54.17,0.0557,92.15,134.23,140.39,121.84,512,512
cou_019,counting,six strings on a guitar,124.32,63.07,0.1279,106.04,145.17,115.15,116.83,512,512
cou_020,counting,four legs on a dog,108.29,60.14,0.2372,101.59,111.07,112.51,79.23,512,512
cou_021,counting,seven stars in the sky,107.79,46.04,0.0489,80.7,103.6,108.23,116.51,512,512
cou_022,counting,eight tentacles on an octopus,118.56,58.83,0.0998,106.88,110.22,118.99,138.18,512,512
cou_023,counting,nine planets in space,118.02,90.08,0.0832,128.01,129.4,113.78,110.07,512,512
cou_024,counting,ten fingers on two hands,107.59,37.86,0.0175,56.91,115.59,105.72,96.27,512,512
cou_025,counting,seven colors in a rainbow,113.65,79.63,0.0373,187.2,138.75,105.93,87.52,512,512
cou_026,counting,eight slices of pizza,120.92,74.1,0.1209,100.42,151.48,111.74,88.01,512,512
cou_027,counting,nine squares in a grid,109.54,65.49,0.0399,6.45,110.59,108.95,109.52,512,512
cou_028,counting,ten bowling pins,109.47,61.8,0.0572,151.06,101.46,112.49,114.82,512,512
cou_029,counting,seven days on a calendar,131.69,98.48,0.1357,59.58,131.62,131.59,132.7,512,512
cou_030,counting,eight windows on a building,111.2,59.65,0.2354,126.19,120.29,110.17,92.63,512,512
cou_031,counting,a pair of glasses,96.61,37.0,0.0345,128.82,123.42,88.94,65.84,512,512
cou_032,counting,a pair of socks,96.22,54.63,0.0409,180.82,122.33,88.07,69.69,512,512
cou_033,counting,a set of keys,103.6,70.72,0.0475,71.33,110.93,103.0,87.46,512,512
cou_034,counting,a deck of cards,120.75,105.7,0.1219,30.03,124.52,118.99,119.61,512,512
cou_035,counting,a bunch of grapes,128.53,64.05,0.069,153.08,109.43,140.11,119.01,512,512
cou_036,counting,a flock of birds,116.92,91.58,0.1781,73.46,120.32,117.22,106.48,512,512
cou_037,counting,a herd of sheep,102.35,66.22,0.1505,61.92,113.64,99.18,89.11,512,512
cou_038,counting,a school of fish,104.03,86.22,0.1531,161.15,99.81,106.11,104.39,512,512
cou_039,counting,a swarm of bees,107.62,57.59,0.3308,125.12,128.25,104.61,69.01,512,512
cou_040,counting,a pack of wolves,118.11,64.17,0.1649,85.5,129.06,117.4,93.06,512,512
cou_041,counting,three oranges on a plate,135.96,42.83,0.0268,133.48,134.59,136.2,138.33,512,512
cou_042,counting,two red apples and one green apple,104.56,58.33,0.0634,140.85,103.01,113.36,63.37,512,512
cou_043,counting,five birds on a wire,123.1,20.61,0.0153,20.35,121.1,122.7,130.48,512,512
cou_044,counting,four cookies on a plate,115.04,73.31,0.0656,128.75,141.32,108.66,79.01,512,512
cou_045,counting,six fish in a bowl,111.28,53.18,0.1509,152.63,121.56,110.48,88.45,512,512
cou_046,counting,three trees in a row,117.0,65.19,0.2495,144.32,127.81,119.96,73.41,512,512
cou_047,counting,two bicycles parked together,119.56,64.79,0.198,86.33,133.85,115.57,102.67,512,512
cou_048,counting,four butterflies flying,130.3,39.74,0.0704,122.29,123.57,129.51,152.07,512,512
cou_049,counting,three puppies playing,124.46,52.91,0.161,97.48,110.06,137.84,93.34,512,512
cou_050,counting,five ducks in a pond,98.32,47.74,0.1845,96.91,100.83,99.56,85.37,512,512
cou_051,counting,two slices of bread,121.3,75.46,0.1414,115.65,144.99,114.49,94.25,512,512
cou_052,counting,three scoops of ice cream,110.36,69.32,0.0309,126.42,132.45,102.17,94.6,512,512
cou_053,counting,four pieces of sushi,118.55,65.58,0.1386,60.26,132.25,114.16,105.23,512,512
cou_054,counting,five strawberries in a bowl,140.71,50.84,0.1427,50.66,148.5,137.01,139.35,512,512
cou_055,counting,six donuts in a box,116.02,71.19,0.1193,135.02,144.13,106.75,90.01,512,512
cou_056,counting,two cups of coffee,113.93,85.5,0.1,120.85,129.94,109.03,97.19,512,512
cou_057,counting,three cupcakes on a stand,133.55,60.2,0.0714,98.62,155.93,125.62,115.67,512,512
cou_058,counting,four slices of pizza,101.18,73.07,0.1459,174.36,148.11,84.26,65.26,512,512
cou_059,counting,five cherries on top,111.08,56.02,0.072,140.71,124.88,109.9,80.95,512,512
cou_060,counting,two sandwiches on a plate,146.81,70.1,0.0785,98.22,154.89,146.6,126.73,512,512
cou_061,counting,three pencils and two erasers,86.24,32.24,0.0082,25.41,91.59,83.3,87.51,512,512
cou_062,counting,four red balls and two blue balls,95.5,44.3,0.1922,110.63,104.4,93.05,84.79,512,512
cou_063,counting,five tall buildings,112.87,82.01,0.2247,103.63,95.09,117.81,134.02,512,512
cou_064,counting,six windows in a row,133.91,92.04,0.1441,15.18,133.77,133.85,134.51,512,512
cou_065,counting,two doors side by side,110.78,88.0,0.2172,50.66,111.3,110.51,111.07,512,512
cou_066,counting,three stairs going up,104.62,81.16,0.1974,28.48,105.29,104.24,104.8,512,512
cou_067,counting,four picture frames on a wall,155.51,63.24,0.0469,12.41,155.81,155.38,155.55,512,512
cou_068,counting,five coins on a table,93.87,63.04,0.0855,152.67,114.15,89.27,64.34,512,512
cou_069,counting,two clocks showing different times,122.17,77.3,0.0557,73.08,130.8,119.94,110.91,512,512
cou_070,counting,three mirrors reflecting,100.7,42.38,0.1936,98.51,110.07,100.44,77.42,512,512
cou_071,counting,four seasons in pictures,119.8,72.77,0.1791,175.43,129.64,119.93,93.38,512,512
cou_072,counting,three mountain peaks,110.69,50.55,0.1344,108.67,111.23,108.44,120.82,512,512
cou_073,counting,two rivers meeting,118.05,41.58,0.131,55.63,115.22,121.56,107.37,512,512
cou_074,counting,five clouds in the sky,112.34,68.13,0.0287,173.75,117.69,111.38,103.24,512,512
cou_075,counting,four leaves on a stem,125.45,34.61,0.3082,50.67,134.66,123.63,110.58,512,512
cou_076,counting,six waves on a beach,120.15,47.34,0.1379,93.4,114.34,121.14,130.34,512,512
cou_077,counting,three stones stacked,121.75,49.64,0.0127,38.95,126.03,120.49,116.64,512,512
cou_078,counting,two rainbows crossing,121.78,50.95,0.0645,132.82,123.63,123.32,109.02,512,512
cou_079,counting,four trees in autumn,84.48,59.92,0.2245,143.63,105.62,79.44,54.94,512,512
cou_080,counting,five snowflakes falling,116.82,75.42,0.1277,108.29,101.94,117.42,152.76,512,512
cou_081,counting,two horses running,134.11,52.96,0.1339,92.59,148.4,133.6,99.31,512,512
cou_082,counting,three elephants walking,121.04,80.04,0.1873,87.26,134.05,117.68,104.29,512,512
cou_083,counting,four penguins standing,117.82,60.88,0.0647,35.01,121.75,116.56,114.02,512,512
cou_084,counting,five flamingos in water,151.56,42.42,0.0496,130.77,132.37,156.33,177.3,512,512
cou_085,counting,six ladybugs on a leaf,97.2,33.36,0.0783,95.33,96.05,101.85,76.21,512,512
cou_086,counting,two owls on a branch,134.57,47.67,0.1222,81.22,121.09,141.4,134.71,512,512
cou_087,counting,three frogs on lily pads,111.35,67.77,0.1056,188.25,93.1,123.28,97.84,512,512
cou_088,counting,four rabbits in grass,142.51,49.74,0.1474,154.67,109.88,162.24,126.47,512,512
cou_089,counting,five goldfish swimming,118.22,40.73,0.0581,203.5,90.47,126.76,147.07,512,512
cou_090,counting,two turtles on a log,110.34,69.2,0.2072,129.95,117.89,110.68,88.8,512,512
cou_091,counting,seven musical notes,112.85,39.64,0.0335,6.11,114.18,112.11,112.91,512,512
cou_092,counting,eight chess pieces,112.69,76.09,0.0444,123.02,116.74,110.88,111.38,512,512
cou_093,counting,nine circles in a pattern,105.62,90.25,0.3417,51.71,105.34,105.58,106.56,512,512
cou_094,counting,ten dots in two rows,130.2,117.41,0.1166,64.28,130.06,130.22,130.44,512,512
cou_095,counting,three hearts in a row,89.99,34.69,0.01,26.99,97.2,86.29,90.05,512,512
cou_096,counting,four arrows pointing,100.39,38.96,0.0275,87.88,114.85,97.15,79.0,512,512
cou_097,counting,five gears interlocking,129.17,68.62,0.0999,29.62,131.06,128.31,128.74,512,512
cou_098,counting,six hexagons together,113.38,60.53,0.0886,20.38,114.17,113.13,112.68,512,512
cou_099,counting,two triangles overlapping,98.5,26.74,0.0912,12.08,100.75,97.87,95.97,512,512
cou_100,counting,four squares in a grid,149.16,110.82,0.1572,45.01,150.24,152.49,129.2,512,512
sty_001,styles,a watercolor painting of a mountain,121.59,43.03,0.016,62.1,107.44,126.78,132.01,512,512
sty_002,styles,an oil painting of a sunset,94.79,29.98,0.0065,131.35,121.74,83.96,79.88,512,512
sty_003,styles,a pencil sketch of a portrait,114.83,32.92,0.0449,4.15,115.62,114.51,114.94,512,512
sty_004,styles,an impressionist painting of a garden,102.01,57.86,0.1237,140.35,137.16,80.78,119.17,512,512
sty_005,styles,a realistic painting of a tiger,131.56,65.32,0.1456,70.59,132.8,132.11,125.52,512,512
sty_006,styles,a charcoal drawing of a tree,102.86,37.83,0.197,111.58,95.1,110.56,83.55,512,512
sty_007,styles,a pastel drawing of flowers,120.71,46.91,0.0916,16.18,121.92,120.5,119.82,512,512
sty_008,styles,a renaissance painting of angels,107.41,87.9,0.0981,160.14,129.62,102.65,73.68,512,512
sty_009,styles,a baroque painting of a feast,108.21,55.01,0.0202,107.48,131.36,100.55,86.92,512,512
sty_010,styles,an acrylic painting of the ocean,103.48,60.43,0.1782,173.63,136.51,94.06,65.31,512,512
sty_011,styles,a digital art of a city,124.86,55.29,0.0854,4.54,125.3,124.58,125.11,512,512
sty_012,styles,an abstract painting with circles,102.9,48.59,0.133,110.57,79.72,110.7,123.55,512,512
sty_013,styles,a pop art portrait,137.74,36.13,0.0325,67.7,133.48,138.78,143.6,512,512
sty_014,styles,a cubist painting of a face,145.86,82.93,0.0666,73.83,155.92,143.25,132.93,512,512
sty_015,styles,a surrealist painting of a clock,120.89,40.99,0.091,11.93,123.14,120.29,118.19,512,512
sty_016,styles,a minimalist design of a chair,119.51,26.85,0.0043,78.39,135.56,112.21,114.98,512,512
sty_017,styles,a pixel art of a spaceship,97.37,57.27,0.0965,125.1,116.87,93.21,67.58,512,512
sty_018,styles,a vector illustration of a logo,142.07,83.8,0.067,126.51,126.84,148.17,150.65,512,512
sty_019,styles,a graffiti style mural,138.39,57.6,0.0972,12.94,139.09,138.1,138.28,512,512
sty_020,styles,a contemporary art installation,126.15,54.16,0.0223,27.65,128.91,125.28,123.46,512,512
sty_021,styles,a photograph of a beach,100.55,28.86,0.0792,116.84,128.36,92.6,68.57,512,512
sty_022,styles,a vintage photograph of a street,114.02,70.08,0.1136,42.14,118.95,112.81,107.29,512,512
sty_023,styles,a black and white photograph of a person,123.75,59.47,0.0401,13.65,124.45,123.46,123.63,512,512
sty_024,styles,a macro photograph of an insect,83.12,58.03,0.2575,55.79,88.07,82.35,74.12,512,512
sty_025,styles,a long exposure photograph of stars,94.37,50.22,0.0901,134.27,117.64,88.92,61.44,512,512
sty_026,styles,a portrait photograph with bokeh,125.15,44.91,0.0015,2.75,125.17,125.02,125.79,512,512
sty_027,styles,a landscape photograph at golden hour,86.61,39.67,0.1568,180.82,119.89,79.57,35.56,512,512
sty_028,styles,a street photography scene,112.34,64.86,0.1375,70.18,125.31,107.86,101.33,512,512
sty_029,styles,an aerial photograph of a city,121.86,43.49,0.2472,30.75,122.51,121.53,121.83,512,512
sty_030,styles,an underwater photograph of coral,91.2,61.12,0.2273,173.09,77.71,95.17,106.11,512,512
sty_031,styles,a cartoon drawing of a robot,146.66,119.6,0.0961,12.37,146.27,146.87,146.49,512,512
sty_032,styles,a manga style drawing of a hero,130.64,67.6,0.1074,15.9,131.14,130.41,130.84,512,512
sty_033,styles,a comic book illustration of a superhero,93.49,66.44,0.1035,199.87,108.35,86.25,91.84,512,512
sty_034,styles,a children's book illustration of animals,140.95,33.17,0.0485,140.62,125.61,152.3,122.7,512,512
sty_035,styles,a botanical illustration of a rose,119.65,22.19,0.0227,39.44,115.88,123.26,110.91,512,512
sty_036,styles,a scientific illustration of anatomy,111.68,75.38,0.1442,139.03,121.04,104.53,123.98,512,512
sty_037,styles,a fashion illustration of a dress,139.47,41.42,0.0814,11.2,141.69,138.85,137.64,512,512
sty_038,styles,a architectural drawing of a building,150.17,77.32,0.224,30.32,148.32,150.68,152.25,512,512
sty_039,styles,a technical drawing of a machine,149.89,75.1,0.0904,22.08,149.73,149.91,150.15,512,512
sty_040,styles,a storyboard sketch of a scene,115.75,28.95,0.0866,4.95,116.29,115.55,116.0,512,512
sty_041,styles,a japanese ink wash painting of bamboo,115.28,42.21,0.0866,12.1,117.29,114.83,112.31,512,512
sty_042,styles,a chinese calligraphy artwork,129.03,63.47,0.0552,66.21,140.38,127.5,107.17,512,512
sty_043,styles,an indian mandala design,127.22,101.47,0.203,129.77,147.47,116.36,130.13,512,512
sty_044,styles,an african tribal pattern,116.6,107.86,0.2107,113.64,126.93,114.2,101.83,512,512
sty_045,styles,a native american dreamcatcher art,158.92,92.04,0.1147,68.46,168.66,155.12,152.93,512,512
sty_046,styles,a celtic knot design,142.07,117.66,0.1205,13.85,142.21,142.39,140.01,512,512
sty_047,styles,a persian miniature painting,114.88,50.36,0.2558,137.57,120.4,117.19,88.54,512,512
sty_048,styles,a mexican folk art skull,103.63,61.8,0.1734,185.27,112.32,98.04,109.58,512,512
sty_049,styles,an australian aboriginal dot painting,106.97,92.0,0.0477,81.15,118.94,104.39,88.77,512,512
sty_050,styles,a greek mosaic pattern,122.72,83.82,0.251,108.27,139.04,120.62,90.76,512,512
sty_051,styles,a photorealistic rendering of a car,120.53,56.38,0.0472,71.3,119.96,120.04,124.71,512,512
sty_052,styles,a 3D render of a room,127.81,59.36,0.0627,42.9,135.64,125.39,119.77,512,512
sty_053,styles,a low poly art of a deer,102.41,44.05,0.0364,121.15,111.89,102.89,74.97,512,512
sty_054,styles,an isometric illustration of a house,150.77,43.63,0.1329,54.24,150.05,152.15,145.57,512,512
sty_055,styles,a flat design icon set,133.32,35.31,0.0215,154.72,116.34,140.92,138.66,512,512
sty_056,styles,a neon light art sign,110.95,67.4,0.0366,112.13,117.12,108.99,104.81,512,512
sty_057,styles,a holographic display design,125.09,73.08,0.0823,105.64,115.83,127.23,138.3,512,512
sty_058,styles,a wireframe model of a chair,147.33,54.1,0.0828,12.38,147.3,147.26,147.88,512,512
sty_059,styles,a voxel art castle,101.62,51.5,0.0962,157.38,111.17,106.35,52.18,512,512
sty_060,styles,a tilt shift photograph of a city,123.47,56.74,0.1406,62.57,137.32,116.36,123.74,512,512
sty_061,styles,an art nouveau poster design,88.12,101.79,0.1408,140.05,90.01,88.19,82.76,512,512
sty_062,styles,an art deco building facade,127.3,85.21,0.1559,83.92,132.95,125.78,120.36,512,512
sty_063,styles,a victorian era portrait,114.99,66.52,0.1031,13.26,115.46,114.99,113.93,512,512
sty_064,styles,a medieval illuminated manuscript,109.82,72.52,0.1794,131.4,127.66,104.73,89.27,512,512
sty_065,styles,a 1950s advertisement style,116.78,94.59,0.0961,131.19,142.72,108.13,93.33,512,512
sty_066,styles,a 1980s synthwave aesthetic,98.63,59.44,0.1655,211.82,133.47,71.24,148.3,512,512
sty_067,styles,a retro futuristic scene,128.4,57.86,0.169,103.22,107.51,135.47,146.84,512,512
sty_068,styles,a steampunk mechanical device,91.21,62.3,0.1235,118.26,108.7,87.12,66.44,512,512
sty_069,styles,a cyberpunk city street,118.69,66.23,0.1689,95.6,113.58,118.85,131.29,512,512
sty_070,styles,a vaporwave aesthetic image,102.14,63.3,0.1667,199.05,112.77,80.95,183.27,512,512
sty_071,styles,an embroidery design of flowers,154.24,62.24,0.1627,104.42,172.89,146.56,145.02,512,512
sty_072,styles,a stained glass window design,108.9,87.87,0.1463,174.62,116.73,107.47,95.77,512,512
sty_073,styles,a wood carving of an animal,117.61,42.2,0.0379,87.91,135.67,113.35,92.18,512,512
sty_074,styles,a metal sculpture of a figure,119.45,56.23,0.0419,49.96,124.01,118.86,110.28,512,512
sty_075,styles,a sand art mandala,111.08,48.99,0.12,179.54,134.56,102.63,93.01,512,512
sty_076,styles,a chalk art on pavement,142.41,57.15,0.1647,93.24,127.66,147.41,155.32,512,512
sty_077,styles,a paper cut art silhouette,114.21,97.25,0.1665,74.26,117.36,113.18,111.22,512,512
sty_078,styles,a collage of magazine clippings,109.75,90.34,0.1041,51.05,115.35,107.48,106.76,512,512
sty_079,styles,a mosaic tile artwork,105.61,64.9,0.2122,150.09,111.71,105.39,90.7,512,512
sty_080,styles,a tapestry weaving pattern,117.21,52.72,0.3133,134.33,144.27,111.38,76.2,512,512
sty_081,styles,a double exposure photograph,107.93,48.2,0.0029,5.08,108.69,107.48,108.46,512,512
sty_082,styles,a glitch art portrait,96.96,51.92,0.0963,188.81,118.28,86.37,95.56,512,512
sty_083,styles,a cyanotype botanical print,127.41,64.54,0.1096,110.65,117.37,130.28,138.96,512,512
sty_084,styles,a linocut print of a landscape,132.92,82.43,0.2533,36.39,128.19,135.28,133.15,512,512
sty_085,styles,an etching of a cityscape,122.35,40.69,0.1601,42.26,126.2,123.52,106.14,512,512
sty_086,styles,a woodblock print of waves,117.84,84.66,0.1233,35.38,122.61,117.62,106.55,512,512
sty_087,styles,a screen print poster,134.46,80.09,0.1319,42.1,131.2,135.95,135.4,512,512
sty_088,styles,a risograph printed zine cover,152.94,60.76,0.1403,110.37,165.52,145.82,156.65,512,512
sty_089,styles,a lenticular animated image,132.34,57.06,0.1036,109.96,148.18,125.72,124.86,512,512
sty_090,styles,an augmented reality overlay,112.26,58.84,0.0653,98.61,127.41,108.83,90.22,512,512
